uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10000023	30	17885011	1150	773	-11224	17868141	537	1150	17885000	1150	787985	60	83516	1597758	714680	-495	30	10731	-11224	627365	good
10000075	30	19113333	504	826	-6440	19103583	573	504	19113333	504	842468	60	62825	1620527	678281	-284	30	11468	-6440	611771	good
10000120	30	17918345	648	776	-1497	17854649	538	648	17918333	648	787390	60	89234	1588471	709204	-66	30	10751	-1497	615969	bad
10000132	15	17024000	1209	798	0	17024000	303	1209	16939111	1209	817152	36	128120	1235009	580361	0	18	1524520	0	451567	bad
10000147	25	13316667	2325	575	0	13283379	333	2325	13316667	2325	585797	50	84929	1189017	714303	69	25	7990	1565	625515	good
10000166	25	17128345	146	738	-7438	17080567	430	146	17128333	146	753253	50	86168	1536141	717473	-328	25	10277	-7438	627802	good
10000177	30	17818345	621	771	-4580	17805102	535	621	17818333	621	785205	60	86256	1562351	701457	-202	30	10691	-4580	611283	good
10000181	25	17563515	705	759	0	17563515	439	705	17556667	705	774551	50	86988	1580256	719790	407	25	10534	9229	629330	good
10000190	14	17024000	1912	798	0	17032062	242	1912	16963867	1912	817539	29	128044	1043109	490182	0	14	1526748	0	360569	good
10000191	25	12596667	1200	546	-20522	12564694	315	1200	12596667	1200	554103	50	86281	1142034	725292	-905	25	7558	-20522	634756	good
10000202	30	13184000	106	618	0	13184000	391	106	13163678	106	632832	59	256040	1664902	1010256	0	30	1184731	0	750295	good
10000205	30	15390000	429	720	0	15374896	460	429	15389578	429	737995	60	95906	1632877	848798	0	30	1385062	0	747319	bad
10000215	30	13312000	204	624	0	13312000	388	204	13165722	204	638976	59	256017	1698311	1020619	0	29	1184915	0	768084	good
10000263	25	14156667	1154	613	-15193	14125760	354	1154	14156667	1154	622946	50	83531	1244403	703218	-670	25	8494	-15193	615641	bad
10000272	12	17024000	2214	798	0	17023937	99	2214	16261856	2214	817149	12	96253	1704566	801017	0	6	1463567	0	732473	good
10000300	25	13239093	957	573	0	13239093	331	957	13238333	957	583844	50	86526	1178422	712086	164	25	7943	3719	621534	good
10000304	25	17960227	1401	776	0	17960227	449	1401	17956667	1401	792046	50	87309	1585109	706052	494	25	10774	11202	615192	bad
