uid	streams-0-profile	streams-0-side_data_list-0-displaymatrix	streams-0-color_space	streams-0-tags-rotate	streams-1-codec_time_base	format-tags-compatible_brands	streams-1-sample_rate	streams-0-tags-encoder	format-tags-major_brand	streams-0-color_primaries	streams-1-time_base	streams-0-width	streams-0-coded_width	streams-0-display_aspect_ratio	streams-0-side_data_list-0-rotation	tag
10000023	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000075	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000120	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10000132	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10000147	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000166	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000177	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000181	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10000190	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000191	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000202	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	good
10000205	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10000215	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000263	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10000272	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10000300	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10000304	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	bad
10000311	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000335	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000423	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000434	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000450	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000451	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	bad
10000459	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000500	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10000510	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000545	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000556	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000615	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000623	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000642	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000674	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000705	1	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10000709	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000718	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	0	2	bad
10000720	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000731	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000738	2	1	-1	1	2	0	2	-1	0	-1	2	1	1	2	2	good
10000768	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000776	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10000782	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10000824	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000853	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000866	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10000876	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10000886	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10000889	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000922	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000957	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10000963	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10000968	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10000987	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001013	1	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001040	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001078	0	2	-1	0	2	1	2	-1	1	-1	2	1	1	2	0	bad
10001129	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001131	0	0	-1	2	1	2	1	1	2	-1	1	0	0	0	1	good
10001133	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001136	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001171	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001175	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001177	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001180	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001199	0	1	2	1	2	1	2	-1	1	2	2	1	1	2	2	good
10001205	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001206	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001215	0	1	-1	1	2	0	2	-1	0	-1	2	1	1	0	2	good
10001241	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001278	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	bad
10001300	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001310	0	0	2	2	1	2	1	1	2	1	1	0	0	0	1	good
10001320	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
10001333	2	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	good
10001342	0	1	-1	1	2	1	2	-1	1	-1	2	1	1	2	2	bad
