uid	format-tags-com.android.version	tag
10000023	-1	good
10000075	-1	good
10000120	-1	bad
10000132	-1	bad
10000147	-1	good
10000166	-1	good
10000177	-1	good
10000181	-1	good
10000190	-1	good
10000191	-1	good
10000202	1	good
10000205	1	bad
10000215	1	good
10000263	-1	bad
10000272	-1	good
10000300	-1	good
10000304	-1	bad
10000311	-1	good
10000335	0	good
10000423	-1	good
10000434	-1	good
10000450	-1	good
10000451	-1	bad
10000459	-1	good
10000500	-1	good
10000510	0	good
10000545	-1	good
10000556	-1	good
10000615	-1	good
10000623	-1	good
10000642	-1	good
10000674	-1	good
10000705	2	good
10000709	1	good
10000718	-1	bad
10000720	-1	good
10000731	1	good
10000738	-1	good
10000768	-1	good
10000776	-1	bad
10000782	0	bad
10000824	-1	good
10000853	-1	good
10000866	-1	good
10000876	-1	bad
10000886	-1	bad
10000889	-1	good
10000922	-1	good
10000957	-1	good
10000963	1	bad
10000968	-1	good
10000987	-1	bad
10001013	0	good
10001040	-1	good
10001078	-1	bad
10001129	-1	bad
10001131	-1	good
10001133	1	good
10001136	-1	good
10001171	-1	bad
10001175	-1	good
10001177	-1	good
10001180	-1	bad
10001199	3	good
10001205	-1	good
10001206	1	bad
10001215	-1	good
10001241	-1	bad
10001278	-1	bad
10001300	-1	good
10001310	-1	good
10001320	-1	bad
10001333	0	good
10001342	1	bad
10001350	0	bad
10001371	-1	good
10001386	-1	bad
10001399	1	good
10001400	-1	good
10001407	-1	good
10001417	-1	good
10001442	-1	bad
10001444	-1	bad
10001448	-1	good
10001475	0	bad
10001499	-1	good
10001503	-1	good
10001507	0	bad
10001536	1	bad
10001545	-1	good
10001574	-1	bad
10001595	1	bad
10001618	0	good
10001647	-1	bad
10001650	-1	good
10001666	1	bad
10001722	-1	bad
10001723	-1	bad
10001724	-1	good
10001733	-1	good
10001735	-1	good
10001748	-1	bad
10001757	-1	good
10001771	1	bad
10001790	-1	good
10001792	-1	good
10001800	-1	good
10001816	1	good
10001820	-1	good
10001822	1	good
10001831	-1	bad
10001860	2	bad
10001874	1	good
10001900	3	good
10001939	-1	bad
10001944	1	good
10002041	1	bad
10002056	-1	good
10002110	-1	good
10002129	-1	good
10002131	0	good
10002160	-1	good
10002169	-1	good
10002182	-1	good
10002184	-1	bad
10002225	1	good
10002227	-1	good
10002243	-1	good
10002262	-1	bad
10002263	1	good
10002281	-1	good
10002307	1	good
10002342	-1	bad
10002378	-1	bad
10002385	-1	good
10002403	-1	bad
10002413	-1	bad
10002424	-1	good
10002425	-1	bad
10002437	-1	good
10002442	1	bad
10002446	-1	good
10002480	-1	bad
10002485	-1	good
10002521	1	good
10002527	-1	good
10002547	-1	good
10002550	2	good
10002576	1	good
10002601	1	bad
10002603	-1	bad
10002606	-1	good
10002612	-1	good
10002630	-1	good
10002634	-1	bad
10002636	-1	good
10002638	-1	good
10002649	-1	bad
10002656	-1	good
10002670	-1	bad
10002772	-1	good
10002778	0	good
10002788	-1	bad
10002815	2	good
10002819	0	good
10002852	-1	bad
10002865	-1	good
10002880	-1	good
10002924	-1	good
10002953	-1	good
10002960	-1	good
10002963	-1	bad
10002965	1	good
10002967	-1	good
10002997	-1	good
10003029	1	good
10003046	-1	good
10003106	-1	good
10003119	-1	good
10003143	1	good
10003144	-1	bad
10003159	-1	bad
10003160	-1	good
10003171	-1	bad
10003199	-1	bad
10003226	-1	bad
10003290	-1	good
10003319	-1	bad
10003335	-1	good
10003346	1	bad
