uid	streams-1-max_bit_rate	tag
10000023	5	good
10000075	4	good
10000120	5	bad
10000132	0	bad
10000147	5	good
10000166	5	good
10000177	5	good
10000181	5	good
10000190	0	good
10000191	5	good
10000202	3	good
10000205	5	bad
10000215	3	good
10000263	5	bad
10000272	5	good
10000300	5	good
10000304	5	bad
10000311	5	good
10000335	0	good
10000423	5	good
10000434	4	good
10000450	0	good
10000451	5	bad
10000459	5	good
10000500	5	good
10000510	5	good
10000545	5	good
10000556	5	good
10000615	4	good
10000623	5	good
10000642	5	good
10000674	5	good
10000705	5	good
10000709	5	good
10000718	3	bad
10000720	5	good
10000731	5	good
10000738	1	good
10000768	5	good
10000776	0	bad
10000782	0	bad
10000824	5	good
10000853	5	good
10000866	5	good
10000876	5	bad
10000886	5	bad
10000889	5	good
10000922	5	good
10000957	0	good
10000963	5	bad
10000968	5	good
10000987	5	bad
10001013	5	good
10001040	5	good
10001078	0	bad
10001129	5	bad
10001131	5	good
10001133	5	good
10001136	5	good
10001171	5	bad
10001175	0	good
10001177	5	good
10001180	5	bad
10001199	5	good
10001205	5	good
10001206	5	bad
10001215	1	good
10001241	5	bad
10001278	5	bad
10001300	5	good
10001310	5	good
10001320	5	bad
10001333	0	good
10001342	5	bad
10001350	0	bad
10001371	5	good
10001386	0	bad
10001399	5	good
10001400	1	good
10001407	5	good
10001417	5	good
10001442	5	bad
10001444	5	bad
10001448	5	good
10001475	5	bad
10001499	0	good
10001503	5	good
10001507	0	bad
10001536	5	bad
10001545	5	good
10001574	5	bad
10001595	5	bad
10001618	0	good
10001647	5	bad
10001650	0	good
10001666	5	bad
10001722	3	bad
10001723	5	bad
10001724	5	good
10001733	5	good
10001735	5	good
10001748	1	bad
10001757	5	good
10001771	5	bad
10001790	5	good
10001792	5	good
10001800	5	good
10001816	5	good
10001820	5	good
10001822	3	good
10001831	4	bad
10001860	5	bad
10001874	5	good
10001900	1	good
10001939	5	bad
10001944	3	good
10002041	5	bad
10002056	5	good
10002110	5	good
10002129	5	good
10002131	0	good
10002160	5	good
10002169	5	good
10002182	5	good
10002184	0	bad
10002225	5	good
10002227	5	good
10002243	5	good
10002262	0	bad
10002263	3	good
10002281	5	good
10002307	5	good
10002342	5	bad
10002378	5	bad
10002385	4	good
10002403	5	bad
10002413	5	bad
10002424	5	good
10002425	4	bad
10002437	5	good
10002442	5	bad
10002446	0	good
10002480	1	bad
10002485	5	good
10002521	5	good
10002527	5	good
10002547	5	good
10002550	3	good
10002576	5	good
10002601	5	bad
10002603	0	bad
10002606	5	good
10002612	0	good
10002630	0	good
10002634	1	bad
10002636	5	good
10002638	5	good
10002649	0	bad
10002656	5	good
10002670	5	bad
10002772	5	good
10002778	0	good
10002788	1	bad
10002815	5	good
10002819	5	good
10002852	0	bad
10002865	5	good
10002880	5	good
10002924	4	good
10002953	5	good
10002960	1	good
10002963	5	bad
10002965	3	good
10002967	5	good
10002997	5	good
10003029	5	good
