uid	streams-0-level	tag
10000023	2	good
10000075	2	good
10000120	2	bad
10000132	5	bad
10000147	2	good
10000166	2	good
10000177	2	good
10000181	2	good
10000190	5	good
10000191	2	good
10000202	2	good
10000205	2	bad
10000215	2	good
10000263	2	bad
10000272	2	good
10000300	2	good
10000304	2	bad
10000311	2	good
10000335	5	good
10000423	2	good
10000434	2	good
10000450	5	good
10000451	2	bad
10000459	2	good
10000500	2	good
10000510	2	good
10000545	2	good
10000556	2	good
10000615	2	good
10000623	2	good
10000642	2	good
10000674	2	good
10000705	2	good
10000709	2	good
10000718	1	bad
10000720	2	good
10000731	2	good
10000738	5	good
10000768	2	good
10000776	5	bad
10000782	5	bad
10000824	2	good
10000853	2	good
10000866	2	good
10000876	2	bad
10000886	2	bad
10000889	2	good
10000922	2	good
10000957	5	good
10000963	2	bad
10000968	2	good
10000987	2	bad
10001013	2	good
10001040	2	good
10001078	5	bad
10001129	2	bad
10001131	2	good
10001133	2	good
10001136	2	good
10001171	2	bad
10001175	5	good
10001177	2	good
10001180	2	bad
10001199	2	good
10001205	2	good
10001206	2	bad
10001215	2	good
10001241	2	bad
10001278	2	bad
10001300	2	good
10001310	2	good
10001320	2	bad
10001333	5	good
10001342	2	bad
10001350	5	bad
10001371	2	good
10001386	5	bad
10001399	2	good
10001400	5	good
10001407	2	good
10001417	2	good
10001442	2	bad
10001444	2	bad
10001448	2	good
10001475	2	bad
10001499	5	good
10001503	2	good
10001507	5	bad
10001536	2	bad
10001545	2	good
10001574	2	bad
10001595	2	bad
10001618	5	good
10001647	2	bad
10001650	5	good
10001666	2	bad
10001722	2	bad
10001723	2	bad
10001724	2	good
10001733	2	good
10001735	2	good
10001748	5	bad
10001757	2	good
10001771	2	bad
10001790	7	good
10001792	2	good
10001800	2	good
10001816	2	good
10001820	2	good
10001822	2	good
10001831	2	bad
10001860	2	bad
10001874	2	good
10001900	2	good
10001939	2	bad
10001944	2	good
10002041	2	bad
10002056	2	good
10002110	2	good
10002129	2	good
10002131	5	good
10002160	2	good
10002169	2	good
10002182	2	good
10002184	5	bad
10002225	2	good
10002227	2	good
10002243	2	good
10002262	3	bad
10002263	2	good
10002281	2	good
10002307	2	good
10002342	2	bad
10002378	2	bad
10002385	2	good
10002403	2	bad
10002413	2	bad
10002424	2	good
10002425	2	bad
10002437	2	good
10002442	2	bad
10002446	5	good
10002480	5	bad
10002485	2	good
10002521	2	good
10002527	2	good
10002547	2	good
10002550	2	good
10002576	2	good
10002601	2	bad
10002603	5	bad
10002606	2	good
10002612	5	good
10002630	5	good
10002634	5	bad
10002636	2	good
10002638	2	good
10002649	5	bad
10002656	2	good
10002670	2	bad
10002772	2	good
10002778	2	good
10002788	5	bad
10002815	2	good
10002819	2	good
10002852	5	bad
10002865	2	good
10002880	2	good
10002924	2	good
10002953	2	good
10002960	5	good
10002963	2	bad
10002965	2	good
10002967	2	good
10002997	5	good
10003029	3	good
10003046	2	good
10003106	2	good
10003119	2	good
10003143	2	good
10003144	2	bad
10003159	2	bad
10003160	2	good
10003171	2	bad
10003199	2	bad
10003226	2	bad
10003290	2	good
10003319	2	bad
10003335	2	good
10003346	2	bad
10003370	2	good
10003381	5	good
10003411	5	good
10003412	2	bad
10003455	2	good
10003465	2	good
10003497	2	good
10003530	2	good
10003559	2	good
10003598	5	good
10003619	2	bad
10003624	3	good
10003642	2	bad
10003658	2	good
10003701	2	good
10003727	2	good
10003728	2	bad
10003740	5	good
10003741	5	good
10003754	2	good
10003819	2	good
10003824	2	good
10003856	2	good
10003864	2	good
10003885	2	bad
10003905	2	bad
10003942	2	good
10003969	2	good
10003994	2	bad
10004006	2	good
10004015	2	good
10004022	2	good
10004046	2	good
10004074	2	good
10004098	2	good
10004100	2	good
10004110	5	good
10004112	2	bad
10004122	2	good
10004125	2	bad
10004150	2	good
10004169	5	bad
10004172	2	bad
10004174	2	bad
10004185	2	bad
10004198	5	bad
10004250	5	good
10004252	2	good
10004285	2	good
10004298	2	good
10004301	2	good
10004333	5	good
10004342	5	good
10004352	2	bad
10004378	5	bad
10004427	5	bad
10004466	5	good
10004476	2	good
10004479	5	good
10004487	5	good
10004488	5	good
10004507	2	good
10004514	5	good
10004517	2	good
10004522	2	good
10004528	2	good
10004543	5	bad
10004550	5	good
10004570	2	bad
10004577	2	good
10004588	2	good
10004610	2	good
10004628	2	good
10004652	2	good
10004661	2	good
10004691	2	bad
10004699	2	bad
10004713	2	good
10004720	5	bad
10004741	2	good
10004785	2	good
10004789	2	bad
10004797	5	bad
10004810	2	good
10004849	2	good
10004888	2	bad
10004894	2	bad
10004895	2	bad
10004914	2	good
10004925	2	good
10004928	5	good
10004948	2	good
10004950	2	bad
10004951	5	bad
10004972	2	good
10004978	5	good
10005043	5	bad
10005050	2	good
10005082	2	good
10005087	2	bad
10005094	5	good
10005128	5	bad
